,adm,country,link
0,99,Morocco,http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/53b794ed-e432-481a-aea5-2f05938cf999/download/MAR_adm2.zip
0,99,Morocco,http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/828d5f49-09c8-4188-a4a4-0f96b6dd3f9f/download/MAR_adm4.zip
0,99,Morocco,http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/6ae73092-633a-452f-94c0-bd91ad324d6a/download/GovCapital_ESRI.zip
0,99,Morocco,http://data.humdata.org/dataset/7fb8f891-35f2-4bd5-8c75-5e7797ff1731/resource/c2b93fc4-0c6a-4b0d-a79a-130ea6bdb9bb/download/MAR_PLACES_ESRI.zip
0,99,Syrian Arab Republic,http://data.humdata.org/dataset/356a63e9-90aa-4b9c-a938-58ef24469c00/resource/efc77a38-a04a-4320-813e-72fe60e9743c/download/syr_admin_shp_utf8_170601.zip
0,99,Iraq,http://data.humdata.org/dataset/488bb3cd-3ce9-49d3-862a-3ce7975c63e1/resource/aec6ecc5-9530-48f4-9618-7036258393af/download/iraq_admbnda_adm0.zip
0,99,Iraq,http://data.humdata.org/dataset/488bb3cd-3ce9-49d3-862a-3ce7975c63e1/resource/4e2a34ef-8b54-4e69-863a-810fa5d298d4/download/iraq_admbnda_adm1.zip
0,99,Iraq,http://data.humdata.org/dataset/488bb3cd-3ce9-49d3-862a-3ce7975c63e1/resource/7003112f-22de-4426-a1d1-9ddc45e211a8/download/iraq_admbnda_adm2.zip
0,99,Sierra Leone,http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/b6225ff4-80e2-428f-be5e-db5d2f43a3d6/download/Admin1ProvinceSLEsleprovince.zip
0,99,Sierra Leone,http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/b3963917-8550-478d-9363-736492bf209a/download/sle_admbnda_adm2_1m_gov_ocha.zip
0,99,Sierra Leone,http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/e2aa661d-af2f-42d8-bdea-c7e16a00bdb2/download/sle_admbnda_adm3_1m_gov_ocha.zip
0,99,Sierra Leone,http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/da852c80-d459-4514-a835-d1d0d457ef2a/download/sle_admbnda_adm4_1m_gov_ocha.zip
0,99,Sierra Leone,http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/d8d5fe4c-c9e4-4f01-a5d8-c581450c5c57/download/sle_admbnda_admint_1m_gov_ocha.zip
0,99,Sierra Leone,http://data.humdata.org/dataset/a4816317-a913-4619-b1e9-d89e21c056b4/resource/17ad0206-f848-4048-a441-f27ad0af1870/download/sle_admbndl_admAll_1m_ocha.zip
0,99,Uganda,http://data.humdata.org/dataset/bb32a92a-f4c0-43d1-8919-57e674fe6c53/resource/5d2e6965-920a-4c07-bacf-a0c900b9d220/download/uganda_county2006.zip
0,99,Uganda,http://data.humdata.org/dataset/69259d71-30ba-41d0-bdb1-8772b3e34b2a/resource/a5b0848d-9a25-45c4-b6a7-a29fa0404314/download/uganda_subcounties2010.zip
0,99,Uganda,http://data.humdata.org/dataset/52707222-6315-4249-aaec-991f9c755cb7/resource/f7879af8-d8b8-4bdb-bf1c-291183a6457b/download/uganda_district2010.zip
0,99,Uganda,http://data.humdata.org/dataset/5ad282a3-d981-4987-8d39-78b88423954f/resource/fc202677-4f65-4f51-a51e-8328bd6a1b2e/download/uganda_subregional2006.zip
0,99,Uganda,http://data.humdata.org/dataset/df98c995-5ada-412f-b1a5-43b42bb366a8/resource/b240f5f1-2689-4e56-bfce-e89ab4c82a07/download/uganda_national2006.zip
0,99,Bahrain,http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/6b11ac4e-2ef7-4ec4-a1ea-006c7c85ded0/download/Boundaries_Bahrain_0_GAUL.zip
0,99,Bahrain,http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/ed1d62a1-92f1-4105-b647-85e90362c59b/download/Boundaries_Bahrain_1_GAUL.zip
0,99,Bahrain,http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/4fdec9b0-ad6d-4981-8a8b-f4af6f4a5b23/download/Boundaries_Bahrain_2_GAUL.zip
0,99,Bahrain,http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/9df2a1ae-b5f0-4bfa-8c2a-f58c12ec76fd/download/BHN_pplp_1m_ESRI.zip
0,99,Bahrain,http://data.humdata.org/dataset/23a85209-66d3-4d10-a69f-7baf6d2cc8c1/resource/0fe9fd06-39e4-4d60-846c-92ebcf9d81de/download/BHN_Places_ESRI.zip
0,99,Kuwait,http://data.humdata.org/dataset/a28f399f-482c-4e62-8dbf-d2c12381674a/resource/34101ac2-58a0-490b-a77c-3a21150eab1f/download/KWT_adm0.zip
0,99,Kuwait,http://data.humdata.org/dataset/a28f399f-482c-4e62-8dbf-d2c12381674a/resource/cdc040d0-844d-4fbd-a13c-819adda7f624/download/KWT_adm1.zip
0,99,Kuwait,http://data.humdata.org/dataset/a28f399f-482c-4e62-8dbf-d2c12381674a/resource/c9786d21-1fd8-43a2-b15a-0d7d1e013e63/download/PPLP_15M_ESRI.zip
0,99,Kuwait,http://data.humdata.org/dataset/a28f399f-482c-4e62-8dbf-d2c12381674a/resource/697ddfd6-b40a-4cfb-b5b5-961972b75762/download/KWT_PLACES_ESRI.zip
0,99,Oman,http://data.humdata.org/dataset/da87f54e-64bd-4cf4-bd31-3fc520f94609/resource/197d524e-1cf7-40f9-93e3-bb987629b846/download/OMN_adm0.zip
0,99,Oman,http://data.humdata.org/dataset/da87f54e-64bd-4cf4-bd31-3fc520f94609/resource/36dee86a-5d84-4a37-8f29-e7f15e9e55eb/download/OMN_adm1.zip
0,99,Oman,http://data.humdata.org/dataset/da87f54e-64bd-4cf4-bd31-3fc520f94609/resource/fae5d130-099b-4bbd-b0d1-99e091d4166d/download/OMN_adm2.zip
0,99,Oman,http://data.humdata.org/dataset/da87f54e-64bd-4cf4-bd31-3fc520f94609/resource/1a91b477-618a-4a2b-b477-d99baa0e4135/download/Gov_Capital.zip
