country;country_code;admin_level;local_name;pcode_col;name_col;pcode_parent_col;name_parent_col;population_col;link;filter
Cote d'Ivoire;CIV;2;;admin2pcod;admin2name;admin1pcod;admin1name;;http://data.humdata.org/dataset/f1f0cfa1-afec-40a2-8390-a084e66a3377/resource/66cfc1f8-0c96-4212-bb5c-b063ddf1be6a/download/civ_admbnda_adm2_cntig_20160527.zip;0
Cote d'Ivoire;CIV;3;;admin3pcod;admin3name;admin2pcod;admin2name;;http://data.humdata.org/dataset/f1f0cfa1-afec-40a2-8390-a084e66a3377/resource/7b723d78-13bd-419f-a5e5-577c9646b89f/download/civ_admbnda_adm3_cntig_20160527.zip;0
Cuba;CUB;1;;;;;;;http://data.humdata.org/dataset/09a2fd3a-52d9-4e95-98d9-35161137a592/resource/e931e099-1308-4055-a862-f8051c64f4b3/download/CUB_adm1.zip;0
Cuba;CUB;2;;;;;;;http://data.humdata.org/dataset/2e424767-55b5-4e69-a021-360cb2a57dc6/resource/d3280867-bf07-4ebf-8243-874e85d257dd/download/CUB_adm2.zip;0
Democratic People's Republic of Korea;PRK;1;;adm1_code;adm1_name;;;;http://data.humdata.org/dataset/a5a07b2f-1f2b-45a1-9273-005c246d2a7f/resource/808ad1f8-c9f2-4e77-964c-0b9f6c5d6abf/download/DPRK_adm1_polygon_wfp_edit.zip;0
Democratic People's Republic of Korea;PRK;2;;adm2011;adm2_name_;adm1_code;adm1_name;;http://data.humdata.org/dataset/5b168494-ec64-4553-a628-7439244bb346/resource/25fcba7a-aaa3-4df7-b005-64a73e4f6b35/download/DPRK_adm2_polygon_wfp_edit.zip;0
Djibouti;DJI;1;;;local_name;;;;http://data.humdata.org/dataset/48456bbc-e7f0-428f-a41d-753ef0f66e43/resource/2bc35d7a-5c7a-43f4-9718-8b0abfc58fad/download/djiadmin11996fews.zip;0
Djibouti;DJI;3;;;admin3;;;;http://data.humdata.org/dataset/7545b743-379d-44a4-88f3-cdac02019422/resource/bac7f725-9683-4228-903e-b4ad9608bf2d/download/djiadmin31996fews.zip;0
Djibouti;DJI;2;;;admin2;;;;http://data.humdata.org/dataset/43b4fc00-3192-48b3-b0f3-765d0325670e/resource/0877365f-7da1-475c-9b99-4d397bfb5e63/download/djiadmin21996fews.zip;0
Dominican Republic;DOM;3;;;;;;;http://data.humdata.org/dataset/c436cdf1-0f68-4eba-bc01-a5eab9a4fbe9/resource/36078091-cb27-484a-953d-0137c5ec42a3/download/Admin_Boundaries_Level_3.zip;0
