;adm;country;link;name;filter
0;3;Bolivia (Plurinational State of);http://data.humdata.org/dataset/100576f3-af09-4f72-833f-97dc6c92fbf8/resource/5bf9800d-4458-4d3a-b93e-b8b8632a5613/download/administrative_boundaries_-_level_4_limite_municipal.zip;administrative_boundaries_-_level_4_limite_municipal.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'id', 'data_type': 'numeric'}, {'field_name': 'codseccion', 'data_type': 'character varying'}, {'field_name': 'codigo', 'data_type': 'character varying'}, {'field_name': 'cod_dep', 'data_type': 'character varying'}, {'field_name': 'nom_dep', 'data_type': 'character varying'}, {'field_name': 'cod_prov', 'data_type': 'character varying'}, {'field_name': 'nom_prov', 'data_type': 'character varying'}, {'field_name': 'nom_mun', 'data_type': 'character varying'}, {'field_name': 'hectares', 'data_type': 'character varying'}, {'field_name': 'cod_secc', 'data_type': 'character varying'}, {'field_name': 'municipio', 'data_type': 'character varying'}, {'field_name': 'total_2000', 'data_type': 'numeric'}, {'field_name': 'hom_2000', 'data_type': 'numeric'}, {'field_name': 'muj_2000', 'data_type': 'numeric'}, {'field_name': 'total_2001', 'data_type': 'numeric'}, {'field_name': 'hom_2001', 'data_type': 'numeric'}, {'field_name': 'muj_2001', 'data_type': 'numeric'}, {'field_name': 'total_2002', 'data_type': 'numeric'}, {'field_name': 'hom_2002', 'data_type': 'numeric'}, {'field_name': 'muj_2002', 'data_type': 'numeric'}, {'field_name': 'total_2003', 'data_type': 'numeric'}, {'field_name': 'hom_2003', 'data_type': 'numeric'}, {'field_name': 'muj_2003', 'data_type': 'numeric'}, {'field_name': 'total_2004', 'data_type': 'numeric'}, {'field_name': 'hom_2004', 'data_type': 'numeric'}, {'field_name': 'muj_2004', 'data_type': 'numeric'}, {'field_name': 'total_2005', 'data_type': 'numeric'}, {'field_name': 'hom_2005', 'data_type': 'numeric'}, {'field_name': 'muj_2005', 'data_type': 'numeric'}, {'field_name': 'total_2006', 'data_type': 'numeric'}, {'field_name': 'hom_2006', 'data_type': 'numeric'}, {'field_name': 'muj_2006', 'data_type': 'numeric'}, {'field_name': 'total_2007', 'data_type': 'numeric'}, {'field_name': 'hom_2007', 'data_type': 'numeric'}, {'field_name': 'muj_2007', 'data_type': 'numeric'}, {'field_name': 'total_2008', 'data_type': 'numeric'}, {'field_name': 'hom_2008', 'data_type': 'numeric'}, {'field_name': 'muj_2008', 'data_type': 'numeric'}, {'field_name': 'total_2009', 'data_type': 'numeric'}, {'field_name': 'hom_2009', 'data_type': 'numeric'}, {'field_name': 'muj_2009', 'data_type': 'numeric'}, {'field_name': 'total_2010', 'data_type': 'numeric'}, {'field_name': 'hom_2010', 'data_type': 'numeric'}, {'field_name': 'muj_2010', 'data_type': 'numeric'}]
0;1;Bolivia (Plurinational State of);http://data.humdata.org/dataset/7c1b668e-aa53-4d20-81df-9945a892a05a/resource/06e6c2a7-b31c-4e6c-8e23-28e7636adf12/download/administrative_boundaries_-_level_1_limite_departamental.zip;administrative_boundaries_-_level_1_limite_departamental.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'cod_dep', 'data_type': 'character varying'}, {'field_name': 'nom_dep', 'data_type': 'character varying'}]
0;0;Burkina Faso;http://data.humdata.org/dataset/2940ed80-4b69-4b98-abaf-af79088852c5/resource/c13a978a-cfdf-4704-b784-4006b5c1419c/download/bfa_admbnda_admint_1m_salb_itos.zip;bfa_admbnda_admint_1m_salb_itos.zip;0
0;1;Burkina Faso;http://data.humdata.org/dataset/2940ed80-4b69-4b98-abaf-af79088852c5/resource/5d409afc-7bc6-4c72-8a49-0fc5cd4718a5/download/bfa_admbnda_adm1_1m_salb_itos.zip;bfa_admbnda_adm1_1m_salb_itos.zip;0
0;2;Burkina Faso;http://data.humdata.org/dataset/2940ed80-4b69-4b98-abaf-af79088852c5/resource/872a2e62-9c2d-4bd7-9570-93b1fa9d9869/download/bfa_admbnda_adm2_1m_salb_itos.zip;bfa_admbnda_adm2_1m_salb_itos.zip;[{'field_name': 'ogc_fid', 'data_type': 'integer'}, {'field_name': 'wkb_geometry', 'data_type': 'USER-DEFINED'}, {'field_name': 'objectid', 'data_type': 'numeric'}, {'field_name': 'admin0name', 'data_type': 'character varying'}, {'field_name': 'admin0pcod', 'data_type': 'character varying'}, {'field_name': 'admin1name', 'data_type': 'character varying'}, {'field_name': 'admin1pcod', 'data_type': 'character varying'}, {'field_name': 'admin2name', 'data_type': 'character varying'}, {'field_name': 'admin2pcod', 'data_type': 'character varying'}, {'field_name': 'admin2refn', 'data_type': 'character varying'}, {'field_name': 'admin2altn', 'data_type': 'character varying'}, {'field_name': 'admin2al_1', 'data_type': 'character varying'}, {'field_name': 'date', 'data_type': 'date'}, {'field_name': 'validon', 'data_type': 'date'}, {'field_name': 'validto', 'data_type': 'date'}, {'field_name': 'shape_leng', 'data_type': 'character varying'}, {'field_name': 'shape_area', 'data_type': 'character varying'}]
0;;Burkina Faso;http://data.humdata.org/dataset/2940ed80-4b69-4b98-abaf-af79088852c5/resource/e7cf8cf9-21a3-4736-a920-a10c0d11f3db/download/bfa_admbndl_admALL_1m_salb_itos.zip;bfa_admbndl_admALL_1m_salb_itos.zip;#N/A
0;1;Burundi;http://data.humdata.org/dataset/4adaa3c9-cafd-4cf4-a768-9d9b520a8d86/resource/35921f1a-a635-4a47-811a-97309a4c2505/download/bdiadmin12006igebu.zip;bdi_admin1_2006_igebu.zip;0
0;2;Burundi;http://data.humdata.org/dataset/873afa32-ce8b-4864-87ed-96d8e7c664d9/resource/09745f81-6d44-4548-9ce1-a4bc1488d6fa/download/bdiadmin22006igebu.zip;bdi_admin2_2006_igebu.zip;0
0;5;Burundi;http://data.humdata.org/dataset/95145e1b-382b-443e-9521-ce94a2ec489a/resource/b7ce609a-b56e-4746-842a-b5987c53c664/download/bdiadmin52006igebu0.zip;bdi_admin5_2006_igebu_0.zip;0
0;4;Burundi;http://data.humdata.org/dataset/e2451937-cf44-4984-88fb-c5320072a113/resource/a5eb736b-4433-4bb7-be2e-7537e5be7288/download/bdiadmin42006igebu0.zip;bdi_admin4_2006_igebu_0.zip;0
